Timestamp,Duration_Seconds,Dialogue
"00:00:00,072 --> 00:00:04,508",4.436,MY LIBERATION NOTES
"00:00:04,581 --> 00:00:07,538",2.957,MY LIBERATION NOTES
"00:00:07,904 --> 00:00:09,529",1.625,"ALL LOCATIONS, CHARACTERS, ORGANIZATIONS, AND INCIDENTS"
"00:00:09,610 --> 00:00:11,281",1.671,DEPICTED IN THIS DRAMA ARE ENTIRELY FICTITIOUS
"00:00:20,978 --> 00:00:21,970",0.992,Your drink is ready.
"00:00:26,313 --> 00:00:27,760",1.447,Thank you. Come again.
"00:00:27,843 --> 00:00:30,737",2.894,"So I joined the tango club, and I was appalled."
"00:00:30,821 --> 00:00:33,343",2.522,You can hear people breathing up close.
"00:00:33,425 --> 00:00:35,286",1.861,Why do people breathe so loudly?
"00:00:36,155 --> 00:00:38,347",2.192,"My boss put his hand on my shoulder,"
"00:00:38,430 --> 00:00:40,001",1.571,and it was hot and sweaty.
"00:00:40,704 --> 00:00:42,855",2.151,"In table tennis, there's sweat everywhere."
"00:00:42,937 --> 00:00:44,840",1.903,It just spatters everywhere.
"00:00:44,922 --> 00:00:46,783",1.861,"When my boss got in the elevator with me,"
"00:00:46,866 --> 00:00:48,892",2.026,I pulled back without even realizing it.
"00:00:49,513 --> 00:00:52,201",2.688,I can still feel all the moistness I felt on that day.
"00:00:53,441 --> 00:00:56,171",2.730,Sweating with your colleagues is not the way to go.
"00:00:56,253 --> 00:00:59,480",3.227,Musical and theater clubs are the best.
"00:00:59,562 --> 00:01:01,134",1.572,You can just enjoy the show.
"00:01:01,629 --> 00:01:03,904",2.275,The problem with those clubs is the meet-up after.
"00:01:03,987 --> 00:01:05,931",1.944,How you feel about the show should be up to you.
"00:01:06,014 --> 00:01:08,329",2.315,But they always force their opinions on you.
"00:01:08,412 --> 00:01:11,017",2.605,"If I say I enjoyed it, they say it was boring."
"00:01:11,101 --> 00:01:12,341",1.240,It drives me crazy.
"00:01:12,423 --> 00:01:16,477",4.054,"I mean, can't we separate the clubs into older and younger groups?"
"00:01:16,559 --> 00:01:18,544",1.985,Right? Can't someone suggest it?
"00:01:18,627 --> 00:01:20,612",1.985,Then the higher-ups will be upset.
"00:01:20,695 --> 00:01:21,522",0.827,You think?
"00:01:21,605 --> 00:01:23,259",1.654,What's it like in your clubs?
"00:01:23,341 --> 00:01:24,747",1.406,It's mostly people in their forties.
"00:01:25,905 --> 00:01:27,229",1.324,"How about yours, Mi-jeong?"
"00:01:28,304 --> 00:01:30,082",1.778,"She's not a part of any, remember?"
"00:01:30,165 --> 00:01:31,778",1.613,"That's right, she doesn't do any."
"00:01:31,860 --> 00:01:33,018",1.158,Not even one?
"00:01:33,763 --> 00:01:35,500",1.737,Why? They cover all the costs.
"00:01:35,582 --> 00:01:37,360",1.778,Many sign up for two or three of them.
"00:01:38,560 --> 00:01:39,553",0.993,You know…
"00:01:40,917 --> 00:01:42,323",1.406,I'm just not interested.
"00:01:42,406 --> 00:01:44,433",2.027,"Hey, you think we do it because we are?"
"00:01:44,515 --> 00:01:46,211",1.696,You go to have fun!
"00:01:46,293 --> 00:01:48,485",2.192,"And if you can get a date out of it, even better."
"00:01:49,106 --> 00:01:52,745",3.639,It takes me three seconds to realize there's no one there for me.
"00:01:52,827 --> 00:01:54,151",1.324,Nine times out of ten.
"00:01:54,233 --> 00:01:56,467",2.234,"Most of the time, seriously."
"00:01:56,549 --> 00:01:59,361",2.812,But there's always that one chance
"00:01:59,940 --> 00:02:01,678",1.738,that you might meet someone.
"00:02:02,339 --> 00:02:05,440",3.101,That's why it's worth going to ten different clubs.
"00:02:07,136 --> 00:02:08,170",1.034,Come with me today.
"00:02:09,700 --> 00:02:11,231",1.531,"Just come, okay?"
"00:02:22,024 --> 00:02:25,333",3.309,You can do it! Just one more!
"00:02:25,416 --> 00:02:27,152",1.736,Haven't you joined any clubs?
"00:02:27,235 --> 00:02:29,923",2.688,Why not? There are many good clubs.
"00:02:30,502 --> 00:02:31,825",1.323,I live quite far away.
"00:02:31,908 --> 00:02:33,190",1.282,Where do you live?
"00:02:34,017 --> 00:02:35,092",1.075,In Sanpo.
"00:02:35,878 --> 00:02:37,243",1.365,Is that by Yongin?
"00:02:37,326 --> 00:02:38,566",1.240,It's near Suwon.
"00:02:40,510 --> 00:02:42,040",1.530,"Good luck, sir!"
"00:02:42,123 --> 00:02:43,322",1.199,"You got this, boss!"
"00:02:49,774 --> 00:02:50,725",0.951,Nice!
"00:03:01,601 --> 00:03:02,883",1.282,Well done.
"00:03:17,317 --> 00:03:18,887",1.570,You can do it!
"00:03:18,970 --> 00:03:20,335",1.365,-You can do it! -You can do it!
"00:03:25,960 --> 00:03:27,614",1.654,<i>Looks like I'll be late today.</i>
"00:03:31,666 --> 00:03:33,321",1.655,JUNE 21ST
"00:03:33,403 --> 00:03:34,230",0.827,Let's go!
"00:03:35,595 --> 00:03:38,118",2.523,"Hey, I can drink more. I'm taking a cab home today."
"00:03:38,200 --> 00:03:40,227",2.027,-Will Mi-jeong be late too? -Yes.
"00:03:45,396 --> 00:03:47,836",2.440,<i>I'll be late too. Meet me at Gangnam Station at 12.</i>
"00:03:50,483 --> 00:03:51,392",0.909,You got this!
"00:04:17,156 --> 00:04:19,059",1.903,Let's just talk about it face to face.
"00:04:19,556 --> 00:04:21,747",2.191,Our whole relationship has been over texts.
"00:04:21,831 --> 00:04:24,022",2.191,Even all of our fights were through texts.
"00:04:24,104 --> 00:04:25,965",1.861,You want to break up through a text too?
"00:04:26,048 --> 00:04:30,474",4.426,"At least when we break up, I want to say it loudly right to your face."
"00:04:31,011 --> 00:04:32,128",1.117,I'll be waiting.
"00:04:33,286 --> 00:04:34,484",1.198,"I said, I'll be waiting!"
"00:04:36,593 --> 00:04:39,447",2.854,-Nice shot! -Nice shot!
"00:04:40,729 --> 00:04:41,681",0.952,<i>I'll be late too.</i>
"00:04:45,402 --> 00:04:46,560",1.158,<i>I'll see you then.</i>
"00:04:54,914 --> 00:04:57,644",2.730,-You're so good at bowling. -Are you sure you're not pro?
"00:04:57,726 --> 00:04:59,545",1.819,"Gosh, you're so good at bowling."
"00:04:59,629 --> 00:05:00,952",1.323,You were incredible.
"00:05:01,035 --> 00:05:02,854",1.819,-You were amazing. -You're really good.
"00:05:02,937 --> 00:05:04,095",1.158,You even got a strike.
"00:05:04,178 --> 00:05:05,832",1.654,How are you so cool?
"00:05:05,915 --> 00:05:08,230",2.315,-Everything you tossed out was a strike. -No.
"00:05:12,242 --> 00:05:13,979",1.737,"-I know, right? -You're so good at it."
"00:05:16,254 --> 00:05:17,618",1.364,I can't get my form right.
"00:05:20,224 --> 00:05:22,663",2.439,Are you leaving? Stay a bit longer.
"00:05:23,284 --> 00:05:24,318",1.034,It's late.
"00:05:25,930 --> 00:05:27,750",1.820,I'll head out first.
"00:05:27,833 --> 00:05:29,363",1.530,You're leaving already?
"00:05:29,942 --> 00:05:31,431",1.489,I need to catch the last train.
"00:05:31,513 --> 00:05:33,003",1.490,She lives far away.
"00:05:33,622 --> 00:05:34,739",1.117,Where was it again?
"00:05:34,822 --> 00:05:36,145",1.323,You should move closer.
"00:05:36,683 --> 00:05:38,833",2.150,Doesn't our company offer a housing subsidy?
"00:05:38,916 --> 00:05:40,198",1.282,It's only ten million won.
"00:05:40,280 --> 00:05:41,480",1.200,-That's it? -Yes.
